date,cases,deaths
2021-02-16,12959,2971
2021-02-17,12966,2971
2021-02-18,13040,2971
2021-02-19,13047,2972
2021-02-20,13106,2976
2021-02-21,13107,2976
2021-02-22,13108,2977
2021-02-23,13115,2977
2021-02-24,13154,2977
2021-02-25,13181,2979
2021-02-27,13189,2979
2021-02-28,13190,2979
2021-03-01,13195,2981
2021-03-02,13195,2981
2021-03-03,13229,2998
2021-03-04,13242,2998
2021-03-05,13249,2999
2021-03-06,13250,3000
2021-03-07,13253,3000
2021-03-08,13256,3000
2021-03-09,13257,3001
2021-03-10,13260,3003
2021-03-11,13269,3006
2021-03-12,13271,3008
2021-03-13,13288,3008
2021-03-14,13291,3009
2021-03-15,13303,3009
2021-03-16,13303,3009
2021-03-17,13304,3010
2021-03-18,13305,3011
2021-03-19,13317,3012
2021-03-21,13325,3012
2021-03-22,13333,3015
2021-03-23,13336,3015
2021-03-24,13341,3015
2021-03-25,13347,3016
2021-03-26,13365,3018
2021-03-27,13376,3019
2021-03-28,13379,3020
2021-03-29,13387,3021
2021-03-30,13388,3022
2021-03-31,13389,3023
2021-04-01,13397,3025
2021-04-02,13441,3026
2021-04-03,13443,3026
2021-04-04,13465,3033
2021-04-05,13533,3036
2021-04-06,13546,3038
2021-04-07,13566,3040
2021-04-08,13568,3040
2021-04-09,13572,3040
2021-04-10,13584,3040
2021-04-11,13598,3041
2021-04-12,13625,3043
2021-04-13,13691,3047
2021-04-14,13784,3047
2021-04-15,13795,3049
2021-04-16,13801,3050
2021-04-17,13807,3051
2021-04-18,13814,3054
2021-04-19,13824,3054
2021-04-20,13834,3055
2021-04-21,13901,3057
2021-04-22,13953,3062
2021-04-23,13964,3067
2021-04-24,14034,3077
2021-04-25,14060,3085
2021-04-26,14170,3091
2021-04-27,14331,3107
2021-04-28,14380,3107
2021-04-29,14672,3121
2021-04-30,14776,3131
2021-05-01,14831,3131
2021-05-02,14878,3131
2021-05-03,15048,3141
2021-05-04,15191,3170
2021-05-05,15258,3181
2021-05-06,15288,3188
2021-05-07,15308,3204
2021-05-08,15351,3210
2021-05-09,15370,3216
2021-05-10,15378,3216
2021-05-11,15399,3219
2021-05-12,15757,3224
2021-05-13,15849,3241
2021-05-14,15891,3245
2021-05-15,15938,3245
2021-05-16,16069,3246
2021-05-17,16124,3248
2021-05-18,16199,3254
2021-05-19,16246,3264
2021-05-20,16338,3265
2021-05-21,16430,3265
2021-05-22,16465,3268
2021-05-23,16533,3269
2021-05-24,16608,3287
2021-05-25,16728,3288
2021-05-26,16897,3296
2021-05-27,17023,3301
2021-05-28,17036,3304
2021-05-29,17045,3312
2021-05-30,17049,3313
2021-05-31,17117,3323
2021-06-01,17186,3327
2021-06-02,17306,3342
2021-06-03,17474,3359
2021-06-04,17507,3360
2021-06-05,17527,3362
2021-06-06,17536,3366
2021-06-07,17621,3373
2021-06-08,17649,3373
2021-06-09,17657,3375
2021-06-10,17678,3378
2021-06-11,17713,3382
2021-06-12,17808,3390
2021-06-13,17811,3396
2021-06-14,17837,3402
2021-06-15,17904,3402
2021-06-16,17964,3405
2021-06-17,18027,3407
2021-06-18,18086,3408
2021-06-19,18149,3410
2021-06-20,18211,3410
2021-06-21,18274,3413
2021-06-22,18344,3417
2021-06-23,18455,3419
2021-06-24,18540,3420
2021-06-25,18623,3425
2021-06-26,18724,3432
2021-06-27,18778,3436
2021-06-28,18852,3440
2021-06-29,18927,3445
2021-06-30,19005,3454
2021-07-01,19039,3459
2021-07-02,19083,3467
2021-07-03,19103,3475
2021-07-04,19112,3477
2021-07-05,19150,3485
2021-07-06,19165,3485
2021-07-07,19226,3497
2021-07-08,19290,3514
2021-07-09,19316,3519
2021-07-10,19382,3536
2021-07-11,19412,3545
2021-07-12,19441,3555
2021-07-13,19485,3581
2021-07-14,19539,3593
2021-07-15,19574,3599
2021-07-16,19621,3609
2021-07-17,19660,3613
2021-07-18,19674,3616
2021-07-19,19714,3621
2021-07-20,19732,3627
2021-07-21,19745,3633
2021-07-22,19781,3635
2021-07-23,19812,3645
2021-07-24,19837,3648
2021-07-25,19871,3658
2021-07-26,19916,3662
2021-07-27,19998,3667
2021-07-28,20061,3678
2021-07-29,20098,3686
2021-07-30,20145,3688
2021-07-31,20170,3695
2021-08-01,20188,3701
2021-08-02,20242,3708
2021-08-03,20273,3718
2021-08-04,20339,3728
2021-08-05,20419,3739
2021-08-06,20463,3752
2021-08-07,20489,3756
2021-08-08,20534,3774
2021-08-09,20569,3779
2021-08-10,20656,3799
2021-08-11,20715,3817
2021-08-12,20794,3831
2021-08-13,20851,3844
2021-08-14,20867,3849
2021-08-15,20946,3860
2021-08-16,21059,3878
2021-08-17,21251,3900
2021-08-18,21349,3915
2021-08-19,21403,3922
2021-08-20,21584,3933
2021-08-21,21733,3945
2021-08-22,21767,3955
2021-08-23,21933,3971
2021-08-24,22011,3983
2021-08-25,22153,4012
2021-08-26,22294,4042
2021-08-27,22414,4067
2021-08-28,22478,4082
2021-08-29,22611,4112
2021-08-30,22901,4139
2021-08-31,23130,4164
2021-09-01,23317,4204
2021-09-02,23585,4257
2021-09-03,23941,4334
2021-09-04,24098,4360
2021-09-05,24293,4386
2021-09-06,24639,4433
2021-09-07,24966,4474
2021-09-08,25262,4535
2021-09-09,25404,4583
2021-09-10,25684,4620
2021-09-11,25735,4642
2021-09-12,26024,4714
2021-09-13,26129,4746
2021-09-14,26387,4778
2021-09-15,26619,4819
2021-09-16,26992,4873
2021-09-17,27162,4919
2021-09-18,27359,4975
2021-09-19,27518,5070
2021-09-20,27744,5118
2021-09-21,28264,5198
2021-09-22,28384,5238
2021-09-23,28593,5281
2021-09-24,28685,5325
2021-09-25,28899,5339
2021-09-26,29085,5396
2021-09-27,29287,5440
2021-09-28,29371,5475
2021-09-29,29492,5557
2021-09-30,29634,5589
2021-10-01,29763,5609
2021-10-02,29820,5628
2021-10-03,29897,5649
2021-10-04,30075,5685
2021-10-05,30232,5704
2021-10-06,30282,5724
2021-10-07,30422,5751
2021-10-08,30587,5779
2021-10-09,30617,5791
2021-10-10,30668,5802
2021-10-11,30730,5818
2021-10-12,30789,5828
2021-10-13,30812,5832
2021-10-14,30867,5843
2021-10-15,30934,5862
2021-10-16,30940,5866
2021-10-17,30995,5876
2021-10-18,31011,5880
2021-10-19,31026,5885
2021-10-20,31036,5887
